type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,054007,貿聯統一96購01,TW19Z0540078,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054008,大立光元富96購06,TW19Z0540086,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054009,欣興元富96購03,TW19Z0540094,2019/12/24,上市,,RWSCCA
上市認購(售)權證,05400P,台積電永豐95售05,TW19Z05400P1,2019/11/25,上市,,RWSCPE
上市認購(售)權證,054010,致伸元富96購01,TW19Z0540102,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054011,旺宏永豐96購05,TW19Z0540110,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054012,廣達永豐96購01,TW19Z0540128,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054013,聯發科永豐96購02,TW19Z0540136,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054014,宏達電永豐96購04,TW19Z0540144,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054015,晶豪科永豐96購03,TW19Z0540151,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054016,嘉晶永豐96購04,TW19Z0540169,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054017,茂林永豐96購02,TW19Z0540177,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054018,華新台新96購01,TW19Z0540185,2019/12/24,上市,,RWSCCE
上市認購(售)權證,054019,燿華台新96購01,TW19Z0540193,2019/12/24,上市,,RWSCCE
上市認購(售)權證,05401P,聯茂永豐95售03,TW19Z05401P9,2019/11/25,上市,,RWSCPE
上市認購(售)權證,054020,技嘉台新97購01,TW19Z0540201,2019/12/24,上市,,RWSCCE
上市認購(售)權證,054021,義隆台新96購01,TW19Z0540219,2019/12/24,上市,,RWSCCE
上市認購(售)權證,054022,南亞康和96購01,TW19Z0540227,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054023,和大康和96購01,TW19Z0540235,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054024,中鋼康和96購01,TW19Z0540243,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054025,鴻海凱基96購17,TW19Z0540250,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054026,台積電凱基97購08,TW19Z0540268,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054027,欣興凱基96購04,TW19Z0540276,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054028,臻鼎凱基96購03,TW19Z0540284,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054029,瀚宇博凱基96購02,TW19Z0540292,2019/12/24,上市,,RWSCCA
上市認購(售)權證,05402P,台郡永豐95售02,TW19Z05402P7,2019/11/25,上市,,RWSCPE
上市認購(售)權證,054030,台苯中信98購01,TW19Z0540300,2019/12/24,上市,,RWSCCE
上市認購(售)權證,054031,中鋼中信98購01,TW19Z0540318,2019/12/24,上市,,RWSCCE
上市認購(售)權證,054032,上銀中信96購01,TW19Z0540326,2019/12/24,上市,,RWSCCE
上市認購(售)權證,054033,欣興中信96購02,TW19Z0540334,2019/12/24,上市,,RWSCCE
上市認購(售)權證,054034,景碩中信96購01,TW19Z0540342,2019/12/24,上市,,RWSCCE
上市認購(售)權證,054035,聯詠麥證96購01,TW19Z0540359,2019/12/24,上市,,RWSCCE
上市認購(售)權證,054036,T50反1元大96購08,TW19Z0540367,2019/12/24,上市,,RWBCCA
上市認購(售)權證,054037,T50反1元大96購09,TW19Z0540375,2019/12/24,上市,,RWBCCA
上市認購(售)權證,054038,T50反1元大98購04,TW19Z0540383,2019/12/24,上市,,RWBCCA
上市認購(售)權證,054039,元油反元大96購08,TW19Z0540391,2019/12/24,上市,,RWBCCA
上市認購(售)權證,05403P,台積電富邦95售08,TW19Z05403P5,2019/11/25,上市,,RWSCPE
上市認購(售)權證,054040,中石化元大9C購01,TW19Z0540409,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054041,鴻海元大96購22,TW19Z0540417,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054042,華泰元大96購01,TW19Z0540425,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054043,漢唐元大97購01,TW19Z0540433,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054044,京元電元大96購03,TW19Z0540441,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054045,奇力新元大97購03,TW19Z0540458,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054046,義隆元大96購02,TW19Z0540466,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054047,富邦金元大97購01,TW19Z0540474,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054048,國泰金元大96購04,TW19Z0540482,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054049,亞光元大96購03,TW19Z0540490,2019/12/24,上市,,RWSCCA
上市認購(售)權證,05404P,台積電群益95售06,TW19Z05404P3,2019/11/26,上市,,RWSCPE
上市認購(售)權證,054050,創意元大96購06,TW19Z0540508,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054051,貿聯元大97購03,TW19Z0540516,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054052,日月光元大96購06,TW19Z0540524,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054053,聯茂元大96購01,TW19Z0540532,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054054,光磊國票97購02,TW19Z0540540,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054055,全新國票99購02,TW19Z0540557,2019/12/24,上市,,RWSCCA
上市認購(售)權證,054056,華新科國票96購02,TW19Z0540565,2019/12/24,上市,,RWSCCA
